2019-06-06 20:41:15,230 - DEBUG - {'total': 64384004096, 'available': 61629140992, 'percent': 4.3, 'used': 2143563776, 'free': 61449412608, 'active': 2282762240, 'inactive': 322867200, 'buffers': 34398208, 'cached': 756629504, 'shared': 6365184, 'slab': 58126336}
2019-06-06 20:41:30,210 - DEBUG - {'total': 64384004096, 'available': 61628948480, 'percent': 4.3, 'used': 2143744000, 'free': 61448978432, 'active': 2283048960, 'inactive': 323100672, 'buffers': 34414592, 'cached': 756867072, 'shared': 6365184, 'slab': 58310656}
2019-06-06 20:42:08,510 - DEBUG - {'total': 64384004096, 'available': 61626482688, 'percent': 4.3, 'used': 2146217984, 'free': 61446283264, 'active': 2283327488, 'inactive': 323301376, 'buffers': 34435072, 'cached': 757067776, 'shared': 6365184, 'slab': 60133376}
2019-06-06 20:42:14,355 - DEBUG - {'total': 64384004096, 'available': 61628260352, 'percent': 4.3, 'used': 2144358400, 'free': 61447974912, 'active': 2283335680, 'inactive': 323350528, 'buffers': 34443264, 'cached': 757227520, 'shared': 6365184, 'slab': 58261504}
2019-06-06 20:42:30,887 - DEBUG - {'total': 64384004096, 'available': 61627449344, 'percent': 4.3, 'used': 2145173504, 'free': 61446991872, 'active': 2283339776, 'inactive': 323518464, 'buffers': 34451456, 'cached': 757387264, 'shared': 6365184, 'slab': 59322368}
2019-06-06 20:42:41,682 - DEBUG - {'total': 64384004096, 'available': 61628039168, 'percent': 4.3, 'used': 2144616448, 'free': 61447413760, 'active': 2283028480, 'inactive': 323674112, 'buffers': 34459648, 'cached': 757514240, 'shared': 6365184, 'slab': 59027456}
2019-06-06 20:42:51,706 - DEBUG - {'total': 64384004096, 'available': 61628366848, 'percent': 4.3, 'used': 2144256000, 'free': 61447626752, 'active': 2283036672, 'inactive': 323780608, 'buffers': 34467840, 'cached': 757653504, 'shared': 6365184, 'slab': 58814464}
2019-06-06 20:43:28,097 - DEBUG - {'total': 64384004096, 'available': 61628481536, 'percent': 4.3, 'used': 2144145408, 'free': 61447430144, 'active': 2283061248, 'inactive': 324042752, 'buffers': 34492416, 'cached': 757936128, 'shared': 6365184, 'slab': 58486784}
2019-06-06 20:43:47,967 - DEBUG - {'total': 64384004096, 'available': 61627904000, 'percent': 4.3, 'used': 2144714752, 'free': 61446660096, 'active': 2283081728, 'inactive': 324214784, 'buffers': 34500608, 'cached': 758128640, 'shared': 6365184, 'slab': 59256832}
2019-06-06 20:44:00,862 - DEBUG - {'total': 64384004096, 'available': 61628477440, 'percent': 4.3, 'used': 2144124928, 'free': 61447114752, 'active': 2283110400, 'inactive': 324304896, 'buffers': 34508800, 'cached': 758255616, 'shared': 6365184, 'slab': 58920960}
2019-06-06 20:44:24,352 - DEBUG - {'total': 64384004096, 'available': 61627207680, 'percent': 4.3, 'used': 2145443840, 'free': 61445632000, 'active': 2283147264, 'inactive': 324497408, 'buffers': 34516992, 'cached': 758411264, 'shared': 6365184, 'slab': 60239872}
2019-06-06 20:44:37,359 - DEBUG - {'total': 64384004096, 'available': 61628346368, 'percent': 4.3, 'used': 2144280576, 'free': 61446557696, 'active': 2283155456, 'inactive': 324677632, 'buffers': 34525184, 'cached': 758640640, 'shared': 6365184, 'slab': 59060224}
2019-06-06 20:44:56,507 - DEBUG - {'total': 64384004096, 'available': 61627174912, 'percent': 4.3, 'used': 2145390592, 'free': 61445267456, 'active': 2283155456, 'inactive': 324792320, 'buffers': 34533376, 'cached': 758812672, 'shared': 6365184, 'slab': 60170240}
2019-06-06 20:45:13,349 - DEBUG - {'total': 64384004096, 'available': 61627731968, 'percent': 4.3, 'used': 2144882688, 'free': 61445578752, 'active': 2283175936, 'inactive': 325021696, 'buffers': 34549760, 'cached': 758992896, 'shared': 6365184, 'slab': 59285504}
2019-06-06 20:45:37,491 - DEBUG - {'total': 64384004096, 'available': 61626769408, 'percent': 4.3, 'used': 2145812480, 'free': 61444497408, 'active': 2283188224, 'inactive': 325128192, 'buffers': 34557952, 'cached': 759136256, 'shared': 6365184, 'slab': 60391424}
2019-06-06 20:46:23,133 - DEBUG - {'total': 64384004096, 'available': 61626216448, 'percent': 4.3, 'used': 2146373632, 'free': 61443641344, 'active': 2283233280, 'inactive': 325361664, 'buffers': 34582528, 'cached': 759406592, 'shared': 6365184, 'slab': 60932096}
2019-06-06 20:46:54,239 - DEBUG - {'total': 64384004096, 'available': 61626888192, 'percent': 4.3, 'used': 2145644544, 'free': 61444136960, 'active': 2283241472, 'inactive': 325529600, 'buffers': 34598912, 'cached': 759623680, 'shared': 6365184, 'slab': 60338176}
2019-06-06 20:47:23,291 - DEBUG - {'total': 64384004096, 'available': 61628788736, 'percent': 4.3, 'used': 2143756288, 'free': 61445828608, 'active': 2283274240, 'inactive': 325713920, 'buffers': 34623488, 'cached': 759795712, 'shared': 6365184, 'slab': 58335232}
2019-06-06 20:47:40,113 - DEBUG - {'total': 64384004096, 'available': 61628358656, 'percent': 4.3, 'used': 2144178176, 'free': 61445267456, 'active': 2283290624, 'inactive': 325758976, 'buffers': 34635776, 'cached': 759922688, 'shared': 6365184, 'slab': 58789888}
2019-06-06 20:47:52,636 - DEBUG - {'total': 64384004096, 'available': 61628579840, 'percent': 4.3, 'used': 2143899648, 'free': 61445349376, 'active': 2283290624, 'inactive': 325873664, 'buffers': 34643968, 'cached': 760111104, 'shared': 6365184, 'slab': 58707968}
2019-06-06 20:48:15,553 - DEBUG - {'total': 64384004096, 'available': 61627473920, 'percent': 4.3, 'used': 2145050624, 'free': 61444026368, 'active': 2283442176, 'inactive': 326066176, 'buffers': 34660352, 'cached': 760266752, 'shared': 6365184, 'slab': 59453440}
2019-06-06 20:48:34,954 - DEBUG - {'total': 64384004096, 'available': 61627920384, 'percent': 4.3, 'used': 2144583680, 'free': 61444308992, 'active': 2283454464, 'inactive': 326225920, 'buffers': 34668544, 'cached': 760442880, 'shared': 6365184, 'slab': 59023360}
2019-06-06 20:49:10,768 - DEBUG - {'total': 64384004096, 'available': 61626130432, 'percent': 4.3, 'used': 2146414592, 'free': 61442240512, 'active': 2283491328, 'inactive': 326463488, 'buffers': 34697216, 'cached': 760651776, 'shared': 6365184, 'slab': 61026304}
2019-06-06 20:49:24,748 - DEBUG - {'total': 64384004096, 'available': 61628215296, 'percent': 4.3, 'used': 2144260096, 'free': 61444190208, 'active': 2283499520, 'inactive': 326574080, 'buffers': 34705408, 'cached': 760848384, 'shared': 6365184, 'slab': 58982400}
