2019-06-07 02:38:28,665 - DEBUG - {'total': 64384004096, 'available': 58479788032, 'percent': 9.2, 'used': 5298565120, 'free': 58268848128, 'active': 5583593472, 'inactive': 278007808, 'buffers': 41824256, 'cached': 774766592, 'shared': 69632, 'slab': 51261440}
2019-06-07 02:44:44,691 - DEBUG - {'total': 64384004096, 'available': 58478727168, 'percent': 9.2, 'used': 5299630080, 'free': 58267451392, 'active': 5584023552, 'inactive': 278212608, 'buffers': 41934848, 'cached': 774987776, 'shared': 69632, 'slab': 51290112}
2019-06-07 03:06:19,823 - DEBUG - {'total': 64384004096, 'available': 58435944448, 'percent': 9.2, 'used': 5300002816, 'free': 58019663872, 'active': 5730320384, 'inactive': 294297600, 'buffers': 187867136, 'cached': 876470272, 'shared': 69632, 'slab': 136843264}
2019-06-07 03:16:42,378 - DEBUG - {'total': 64384004096, 'available': 58436333568, 'percent': 9.2, 'used': 5299613696, 'free': 58019655680, 'active': 5730488320, 'inactive': 294465536, 'buffers': 188059648, 'cached': 876675072, 'shared': 69632, 'slab': 136843264}
2019-06-07 03:22:00,063 - DEBUG - {'total': 64384004096, 'available': 58436902912, 'percent': 9.2, 'used': 5299048448, 'free': 58019975168, 'active': 5730754560, 'inactive': 294547456, 'buffers': 188174336, 'cached': 876806144, 'shared': 69632, 'slab': 136744960}
2019-06-07 03:28:02,904 - DEBUG - {'total': 64384004096, 'available': 58435735552, 'percent': 9.2, 'used': 5300195328, 'free': 58018484224, 'active': 5730811904, 'inactive': 294739968, 'buffers': 188289024, 'cached': 877035520, 'shared': 69632, 'slab': 136790016}
2019-06-07 03:41:22,746 - DEBUG - {'total': 64384004096, 'available': 58436182016, 'percent': 9.2, 'used': 5299740672, 'free': 58018549760, 'active': 5731143680, 'inactive': 294801408, 'buffers': 188530688, 'cached': 877182976, 'shared': 69632, 'slab': 136773632}
2019-06-07 03:49:15,389 - DEBUG - {'total': 64384004096, 'available': 58435866624, 'percent': 9.2, 'used': 5300043776, 'free': 58017816576, 'active': 5731356672, 'inactive': 295014400, 'buffers': 188710912, 'cached': 877432832, 'shared': 69632, 'slab': 136781824}
2019-06-07 03:53:03,968 - DEBUG - {'total': 64384004096, 'available': 58526773248, 'percent': 9.1, 'used': 5209133056, 'free': 58108473344, 'active': 5640486912, 'inactive': 295153664, 'buffers': 188805120, 'cached': 877592576, 'shared': 69632, 'slab': 136908800}
2019-06-07 03:59:54,668 - DEBUG - {'total': 64384004096, 'available': 58527604736, 'percent': 9.1, 'used': 5208297472, 'free': 58109018112, 'active': 5640548352, 'inactive': 295276544, 'buffers': 188944384, 'cached': 877744128, 'shared': 69632, 'slab': 136785920}
2019-06-07 04:18:13,781 - DEBUG - {'total': 64384004096, 'available': 58526543872, 'percent': 9.1, 'used': 5209350144, 'free': 58107355136, 'active': 5641711616, 'inactive': 295444480, 'buffers': 189317120, 'cached': 877981696, 'shared': 69632, 'slab': 136728576}
2019-06-07 04:23:19,091 - DEBUG - {'total': 64384004096, 'available': 58526470144, 'percent': 9.1, 'used': 5209419776, 'free': 58107113472, 'active': 5641748480, 'inactive': 295473152, 'buffers': 189407232, 'cached': 878063616, 'shared': 69632, 'slab': 136814592}
2019-06-07 04:28:34,111 - DEBUG - {'total': 64384004096, 'available': 58527588352, 'percent': 9.1, 'used': 5208285184, 'free': 58107985920, 'active': 5641318400, 'inactive': 295530496, 'buffers': 189505536, 'cached': 878227456, 'shared': 69632, 'slab': 136847360}
2019-06-07 04:35:55,910 - DEBUG - {'total': 64384004096, 'available': 58527408128, 'percent': 9.1, 'used': 5208457216, 'free': 58107510784, 'active': 5641494528, 'inactive': 295653376, 'buffers': 189640704, 'cached': 878395392, 'shared': 69632, 'slab': 136826880}
2019-06-07 04:49:38,138 - DEBUG - {'total': 64384004096, 'available': 58526965760, 'percent': 9.1, 'used': 5208883200, 'free': 58106523648, 'active': 5642059776, 'inactive': 295890944, 'buffers': 189911040, 'cached': 878686208, 'shared': 69632, 'slab': 136953856}
2019-06-07 04:58:59,720 - DEBUG - {'total': 64384004096, 'available': 58526932992, 'percent': 9.1, 'used': 5208907776, 'free': 58106048512, 'active': 5642178560, 'inactive': 296128512, 'buffers': 190107648, 'cached': 878940160, 'shared': 69632, 'slab': 136900608}
2019-06-07 05:03:32,745 - DEBUG - {'total': 64384004096, 'available': 58527002624, 'percent': 9.1, 'used': 5208834048, 'free': 58105905152, 'active': 5642428416, 'inactive': 296181760, 'buffers': 190205952, 'cached': 879058944, 'shared': 69632, 'slab': 136929280}
2019-06-07 05:36:12,172 - DEBUG - {'total': 64384004096, 'available': 58526404608, 'percent': 9.1, 'used': 5209407488, 'free': 58104442880, 'active': 5643153408, 'inactive': 296292352, 'buffers': 190857216, 'cached': 879296512, 'shared': 69632, 'slab': 137150464}
2019-06-07 05:52:22,300 - DEBUG - {'total': 64384004096, 'available': 58527236096, 'percent': 9.1, 'used': 5208567808, 'free': 58104823808, 'active': 5643542528, 'inactive': 296390656, 'buffers': 191168512, 'cached': 879443968, 'shared': 69632, 'slab': 136990720}
